ORIGIN,Description,N/A(PCT_ONTIME_DEP),Year
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",77.62,2011
BZN,"Bozeman, MT: Bozeman Yellowstone International",89.04,2011
CAE,"Columbia, SC: Columbia Metropolitan",80.49,2011
CAK,"Akron, OH: Akron-Canton Regional",82.7,2011
CDC,"Cedar City, UT: Cedar City Regional",93.24,2011
CDV,"Cordova, AK: Merle K Mudhole Smith",86.45,2011
CEC,"Crescent City, CA: Jack McNamara Field",61.84,2011
CHA,"Chattanooga, TN: Lovell Field",80.45,2011
CHO,"Charlottesville, VA: Charlottesville Albemarle",81.48,2011
CHS,"Charleston, SC: Charleston AFB/International",82.08,2011
CIC,"Chico, CA: Chico Municipal",72.79,2011
CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",81.48,2011
CLD,"Carlsbad, CA: McClellan-Palomar",83.66,2011
CLE,"Cleveland, OH: Cleveland-Hopkins International",84.02,2011
CLL,"College Station/Bryan, TX: Easterwood Field",83.71,2011
CLT,"Charlotte, NC: Charlotte Douglas International",80.54,2011
CMH,"Columbus, OH: John Glenn Columbus International",82.76,2011
CMI,"Champaign/Urbana, IL: University of Illinois/Willard",82.53,2011
CMX,"Hancock/Houghton, MI: Houghton County Memorial",80.74,2011
COD,"Cody, WY: Yellowstone Regional",84.58,2011
COS,"Colorado Springs, CO: City of Colorado Springs Municipal",82.46,2011
CPR,"Casper, WY: Casper/Natrona County International",87.93,2011
CRP,"Corpus Christi, TX: Corpus Christi International",85.76,2011
CRW,"Charleston/Dunbar, WV: Yeager",76.02,2011
CSG,"Columbus, GA: Columbus Airport",80.68,2011
CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",82.05,2011
CWA,"Mosinee, WI: Central Wisconsin",75.24,2011
CYS,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field",80.82,2011
DAB,"Daytona Beach, FL: Daytona Beach International",85.83,2011
DAL,"Dallas, TX: Dallas Love Field",75.95,2011
DAY,"Dayton, OH: James M Cox/Dayton International",83.3,2011
DBQ,"Dubuque, IA: Dubuque Regional",80.28,2011
DCA,"Washington, DC: Ronald Reagan Washington National",82.41,2011
DEN,"Denver, CO: Denver International",78.92,2011
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",78.74,2011
DHN,"Dothan, AL: Dothan Regional",79.66,2011
DLG,"Dillingham, AK: Dillingham Airport",92.86,2011
DLH,"Duluth, MN: Duluth International",84.88,2011
DRO,"Durango, CO: Durango La Plata County",84.08,2011
DSM,"Des Moines, IA: Des Moines International",81.71,2011
DTW,"Detroit, MI: Detroit Metro Wayne County",81.44,2011
EAU,"Eau Claire, WI: Chippewa Valley Regional",81.49,2011
ECP,"Panama City, FL: Northwest Florida Beaches International",81.9,2011
EGE,"Eagle, CO: Eagle County Regional",83.59,2011
EKO,"Elko, NV: Elko Regional",91.46,2011
ELM,"Elmira/Corning, NY: Elmira/Corning Regional",83.53,2011
ELP,"El Paso, TX: El Paso International",82.47,2011
EUG,"Eugene, OR: Mahlon Sweet Field",82.36,2011
EVV,"Evansville, IN: Evansville Regional",81.52,2011
EWN,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",82.11,2011
EWR,"Newark, NJ: Newark Liberty International",72.97,2011
EYW,"Key West, FL: Key West International",86.3,2011
FAI,"Fairbanks, AK: Fairbanks International",89.42,2011
FAR,"Fargo, ND: Hector International",83.33,2011
FAT,"Fresno, CA: Fresno Yosemite International",83.68,2011
FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",79.93,2011
FCA,"Kalispell, MT: Glacier Park International",91.8,2011
FLG,"Flagstaff, AZ: Flagstaff Pulliam",87.63,2011
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",80.26,2011
FLO,"Florence, SC: Florence Regional",50.0,2011
FNT,"Flint, MI: Bishop International",86.57,2011
FSD,"Sioux Falls, SD: Joe Foss Field",81.17,2011
FSM,"Fort Smith, AR: Fort Smith Regional",87.15,2011
FWA,"Fort Wayne, IN: Fort Wayne International",79.82,2011
GCC,"Gillette, WY: Gillette Campbell County",87.52,2011
GEG,"Spokane, WA: Spokane International",88.47,2011
GFK,"Grand Forks, ND: Grand Forks International",84.0,2011
GGG,"Longview, TX: East Texas Regional",83.02,2011
GJT,"Grand Junction, CO: Grand Junction Regional",86.96,2011
GNV,"Gainesville, FL: Gainesville Regional",79.86,2011
GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",83.08,2011
GRB,"Green Bay, WI: Green Bay Austin Straubel International",81.38,2011
GRI,"Grand Island, NE: Central Nebraska Regional",87.63,2011
GRK,"Killeen, TX: Robert Gray AAF",75.61,2011
GRR,"Grand Rapids, MI: Gerald R. Ford International",82.53,2011
GSO,"Greensboro/High Point, NC: Piedmont Triad International",78.87,2011
GSP,"Greer, SC: Greenville-Spartanburg International",81.22,2011
GST,"Gustavus, AK: Gustavus Airport",88.31,2011
GTF,"Great Falls, MT: Great Falls International",90.67,2011
GTR,"Columbus, MS: Golden Triangle Regional",81.39,2011
GUC,"Gunnison, CO: Gunnison-Crested Butte Regional",80.6,2011
