OP_UNIQUE_CARRIER,Description,N/A(PCT_ONTIME_DEP),Year
UA,United Air Lines Inc.,80.34,2016
VX,Virgin America,78.1,2016
WN,Southwest Airlines Co.,79.84,2016
AA,American Airlines Inc.,82.72,2017
AS,Alaska Airlines Inc.,86.38,2017
B6,JetBlue Airways,71.33,2017
DL,Delta Air Lines Inc.,84.44,2017
EV,ExpressJet Airlines LLC d/b/a aha!,78.46,2017
F9,Frontier Airlines Inc.,78.5,2017
HA,Hawaiian Airlines Inc.,91.38,2017
NK,Spirit Air Lines,78.16,2017
OO,SkyWest Airlines Inc.,82.26,2017
UA,United Air Lines Inc.,82.3,2017
VX,Virgin America,73.63,2017
WN,Southwest Airlines Co.,77.29,2017
9E,Endeavor Air Inc.,81.58,2018
AA,American Airlines Inc.,80.33,2018
AS,Alaska Airlines Inc.,86.03,2018
B6,JetBlue Airways,71.62,2018
DL,Delta Air Lines Inc.,85.5,2018
EV,ExpressJet Airlines LLC d/b/a aha!,79.32,2018
F9,Frontier Airlines Inc.,69.31,2018
G4,Allegiant Air,77.89,2018
HA,Hawaiian Airlines Inc.,92.16,2018
MQ,Envoy Air,81.15,2018
NK,Spirit Air Lines,82.65,2018
OH,PSA Airlines Inc.,79.82,2018
OO,SkyWest Airlines Inc.,82.39,2018
UA,United Air Lines Inc.,82.14,2018
VX,Virgin America,80.45,2018
WN,Southwest Airlines Co.,76.38,2018
YV,Mesa Airlines Inc.,80.72,2018
YX,Republic Airline,81.46,2018
9E,Endeavor Air Inc.,81.79,2019
AA,American Airlines Inc.,78.31,2019
AS,Alaska Airlines Inc.,83.01,2019
B6,JetBlue Airways,73.37,2019
DL,Delta Air Lines Inc.,85.46,2019
EV,ExpressJet Airlines LLC d/b/a aha!,74.58,2019
F9,Frontier Airlines Inc.,72.99,2019
G4,Allegiant Air,80.41,2019
HA,Hawaiian Airlines Inc.,91.25,2019
MQ,Envoy Air,79.17,2019
NK,Spirit Air Lines,79.99,2019
OH,PSA Airlines Inc.,79.09,2019
OO,SkyWest Airlines Inc.,80.78,2019
UA,United Air Lines Inc.,79.85,2019
WN,Southwest Airlines Co.,77.32,2019
YV,Mesa Airlines Inc.,78.38,2019
YX,Republic Airline,81.75,2019
9E,Endeavor Air Inc.,89.84,2020
AA,American Airlines Inc.,84.44,2020
AS,Alaska Airlines Inc.,86.64,2020
B6,JetBlue Airways,83.26,2020
DL,Delta Air Lines Inc.,87.86,2020
EV,ExpressJet Airlines LLC d/b/a aha!,84.49,2020
F9,Frontier Airlines Inc.,84.32,2020
G4,Allegiant Air,72.75,2020
HA,Hawaiian Airlines Inc.,89.41,2020
MQ,Envoy Air,85.86,2020
NK,Spirit Air Lines,87.02,2020
OH,PSA Airlines Inc.,81.24,2020
OO,SkyWest Airlines Inc.,86.84,2020
UA,United Air Lines Inc.,84.02,2020
WN,Southwest Airlines Co.,84.79,2020
YV,Mesa Airlines Inc.,83.68,2020
YX,Republic Airline,88.51,2020
9E,Endeavor Air Inc.,91.74,2021
AA,American Airlines Inc.,80.12,2021
AS,Alaska Airlines Inc.,83.87,2021
B6,JetBlue Airways,72.57,2021
DL,Delta Air Lines Inc.,87.85,2021
F9,Frontier Airlines Inc.,77.09,2021
G4,Allegiant Air,71.1,2021
HA,Hawaiian Airlines Inc.,90.81,2021
MQ,Envoy Air,84.37,2021
NK,Spirit Air Lines,77.39,2021
OH,PSA Airlines Inc.,86.26,2021
OO,SkyWest Airlines Inc.,83.98,2021
QX,Horizon Air,86.69,2021
UA,United Air Lines Inc.,82.18,2021
WN,Southwest Airlines Co.,71.53,2021
YV,Mesa Airlines Inc.,78.56,2021
YX,Republic Airline,86.7,2021
9E,Endeavor Air Inc.,81.65,2022
AA,American Airlines Inc.,74.67,2022
AS,Alaska Airlines Inc.,80.84,2022
B6,JetBlue Airways,62.83,2022
DL,Delta Air Lines Inc.,80.53,2022
F9,Frontier Airlines Inc.,67.13,2022
G4,Allegiant Air,65.94,2022
HA,Hawaiian Airlines Inc.,82.18,2022
MQ,Envoy Air,82.3,2022
NK,Spirit Air Lines,73.38,2022
OH,PSA Airlines Inc.,77.14,2022
OO,SkyWest Airlines Inc.,82.25,2022
QX,Horizon Air,84.36,2022
UA,United Air Lines Inc.,76.73,2022
WN,Southwest Airlines Co.,68.0,2022
YV,Mesa Airlines Inc.,76.5,2022
YX,Republic Airline,76.75,2022
