Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,OriginWac,Dest,DestCityName,DestStateName,DestWac,CRSDepTime,DepDelay,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,CRSArrTime,ArrDelay,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Flights,Distance,DistanceGroup
2018,9,18,2,2018-09-18,WN,BWI,"Baltimore, MD",Maryland,35,BNA,"Nashville, TN",Tennessee,54,1255,0.0,0.0,-1.0,1200-1259,11.0,1345,0.0,0.0,-2.0,1300-1359,1.0,587.0,3
2018,9,5,3,2018-09-05,WN,ONT,"Ontario, CA",California,91,SJC,"San Jose, CA",California,91,1825,0.0,0.0,0.0,1800-1859,8.0,1935,0.0,0.0,-1.0,1900-1959,1.0,333.0,2
2018,9,6,4,2018-09-06,OO,SEA,"Seattle, WA",Washington,93,FAT,"Fresno, CA",California,91,1745,0.0,0.0,-1.0,1700-1759,11.0,2000,0.0,0.0,-2.0,2000-2059,1.0,748.0,3
2018,9,12,3,2018-09-12,DL,ATL,"Atlanta, GA",Georgia,34,PWM,"Portland, ME",Maine,12,2115,1.0,0.0,0.0,2100-2159,15.0,2351,0.0,0.0,-1.0,2300-2359,1.0,1027.0,5
2018,9,10,1,2018-09-10,OO,SLC,"Salt Lake City, UT",Utah,87,ORD,"Chicago, IL",Illinois,41,700,0.0,0.0,-1.0,0700-0759,37.0,1115,15.0,1.0,1.0,1100-1159,1.0,1250.0,6
2018,9,10,1,2018-09-10,DL,ATL,"Atlanta, GA",Georgia,34,MEM,"Memphis, TN",Tennessee,54,1900,0.0,0.0,-1.0,1900-1959,18.0,1919,0.0,0.0,-1.0,1900-1959,1.0,332.0,2
2018,9,9,7,2018-09-09,AA,LAX,"Los Angeles, CA",California,91,CLT,"Charlotte, NC",North Carolina,36,27,0.0,0.0,-1.0,0001-0559,14.0,811,9.0,0.0,0.0,0800-0859,1.0,2125.0,9
2018,9,25,2,2018-09-25,MQ,DFW,"Dallas/Fort Worth, TX",Texas,74,LIT,"Little Rock, AR",Arkansas,71,1024,0.0,0.0,-1.0,1000-1059,24.0,1141,0.0,0.0,-1.0,1100-1159,1.0,304.0,2
2018,9,7,5,2018-09-07,AS,SEA,"Seattle, WA",Washington,93,SFO,"San Francisco, CA",California,91,955,1.0,0.0,0.0,0900-0959,25.0,1224,0.0,0.0,-1.0,1200-1259,1.0,679.0,3
2018,9,21,5,2018-09-21,UA,SFO,"San Francisco, CA",California,91,FLL,"Fort Lauderdale, FL",Florida,33,949,57.0,1.0,3.0,0900-0959,24.0,1824,58.0,1.0,3.0,1800-1859,1.0,2584.0,11
2018,9,4,2,2018-09-04,OO,FAT,"Fresno, CA",California,91,PHX,"Phoenix, AZ",Arizona,81,612,0.0,0.0,-1.0,0600-0659,15.0,755,0.0,0.0,-2.0,0700-0759,1.0,493.0,2
2018,9,14,5,2018-09-14,9E,ATL,"Atlanta, GA",Georgia,34,AGS,"Augusta, GA",Georgia,34,900,0.0,0.0,-1.0,0900-0959,26.0,955,0.0,0.0,-1.0,0900-0959,1.0,143.0,1
2018,9,10,1,2018-09-10,G4,CVG,"Cincinnati, OH",Kentucky,52,FLL,"Fort Lauderdale, FL",Florida,33,1004,0.0,0.0,-1.0,1000-1059,9.0,1232,0.0,0.0,-1.0,1200-1259,1.0,932.0,4
2018,9,8,6,2018-09-08,WN,FLL,"Fort Lauderdale, FL",Florida,33,ATL,"Atlanta, GA",Georgia,34,1045,0.0,0.0,-1.0,1000-1059,16.0,1240,0.0,0.0,-2.0,1200-1259,1.0,581.0,3
2018,9,22,6,2018-09-22,AA,PHL,"Philadelphia, PA",Pennsylvania,23,BNA,"Nashville, TN",Tennessee,54,800,0.0,0.0,-1.0,0800-0859,13.0,905,0.0,0.0,-1.0,0900-0959,1.0,675.0,3
2018,9,20,4,2018-09-20,WN,ATL,"Atlanta, GA",Georgia,34,RIC,"Richmond, VA",Virginia,38,2200,8.0,0.0,0.0,2200-2259,10.0,2330,0.0,0.0,-1.0,2300-2359,1.0,481.0,2
2018,9,15,6,2018-09-15,B6,JFK,"New York, NY",New York,22,MCO,"Orlando, FL",Florida,33,740,0.0,0.0,-1.0,0700-0759,50.0,1025,25.0,1.0,1.0,1000-1059,1.0,944.0,4
2018,9,20,4,2018-09-20,DL,SAV,"Savannah, GA",Georgia,34,ATL,"Atlanta, GA",Georgia,34,630,0.0,0.0,-1.0,0600-0659,18.0,735,0.0,0.0,-1.0,0700-0759,1.0,214.0,1
2018,9,4,2,2018-09-04,WN,TPA,"Tampa, FL",Florida,33,FLL,"Fort Lauderdale, FL",Florida,33,600,0.0,0.0,-1.0,0600-0659,17.0,705,0.0,0.0,-1.0,0700-0759,1.0,197.0,1
2018,9,6,4,2018-09-06,DL,ATL,"Atlanta, GA",Georgia,34,RDU,"Raleigh/Durham, NC",North Carolina,36,1509,0.0,0.0,-1.0,1500-1559,11.0,1628,0.0,0.0,-1.0,1600-1659,1.0,356.0,2
2018,9,5,3,2018-09-05,9E,MSP,"Minneapolis, MN",Minnesota,63,CWA,"Mosinee, WI",Wisconsin,45,1431,0.0,0.0,-1.0,1400-1459,12.0,1528,0.0,0.0,-1.0,1500-1559,1.0,175.0,1
2018,9,6,4,2018-09-06,UA,SFO,"San Francisco, CA",California,91,DEN,"Denver, CO",Colorado,82,600,0.0,0.0,-1.0,0600-0659,23.0,940,0.0,0.0,-2.0,0900-0959,1.0,967.0,4
2018,9,6,4,2018-09-06,NK,CMH,"Columbus, OH",Ohio,44,MSY,"New Orleans, LA",Louisiana,72,1427,0.0,0.0,-1.0,1400-1459,11.0,1537,0.0,0.0,-1.0,1500-1559,1.0,806.0,4
2018,9,12,3,2018-09-12,WN,LAX,"Los Angeles, CA",California,91,SJC,"San Jose, CA",California,91,745,0.0,0.0,-1.0,0700-0759,15.0,850,2.0,0.0,0.0,0800-0859,1.0,308.0,2
2018,9,25,2,2018-09-25,WN,GEG,"Spokane, WA",Washington,93,PHX,"Phoenix, AZ",Arizona,81,1020,0.0,0.0,-1.0,1000-1059,11.0,1300,0.0,0.0,-2.0,1300-1359,1.0,1020.0,5
2018,9,3,1,2018-09-03,UA,SLC,"Salt Lake City, UT",Utah,87,EWR,"Newark, NJ",New Jersey,21,1226,44.0,1.0,2.0,1200-1259,37.0,1853,86.0,1.0,5.0,1800-1859,1.0,1969.0,8
2018,9,14,5,2018-09-14,DL,ATL,"Atlanta, GA",Georgia,34,CLE,"Cleveland, OH",Ohio,44,820,0.0,0.0,-1.0,0800-0859,16.0,1001,0.0,0.0,-1.0,1000-1059,1.0,554.0,3
2018,9,8,6,2018-09-08,DL,ATL,"Atlanta, GA",Georgia,34,CVG,"Cincinnati, OH",Kentucky,52,1647,0.0,0.0,-1.0,1600-1659,11.0,1811,0.0,0.0,-2.0,1800-1859,1.0,373.0,2
2018,9,3,1,2018-09-03,DL,TPA,"Tampa, FL",Florida,33,LGA,"New York, NY",New York,22,1230,0.0,0.0,-1.0,1200-1259,15.0,1517,0.0,0.0,-2.0,1500-1559,1.0,1010.0,5
