Year,Month,DayofMonth,DayOfWeek,FlightDate,IATA_CODE_Reporting_Airline,Origin,OriginCityName,OriginStateName,Dest,DestCityName,DestStateName,CRSDepTime,DepDelay,DepDel15,DepTimeBlk,TaxiOut,ArrTimeBlk,Flights,Distance,Day Average Temp,High Temp,Low Temp,Max Wind Speed,Precipitation,Sea Level Pressure
2016,1,26,2,2016-01-26,NK,ORD,"Chicago, IL",Illinois,OAK,"Oakland, CA",California,1520,23.0,1.0,1500-1559,12.0,1700-1759,1.0,1836.0,30.06,36.0,25.0,25.0,0.15,29.48
2016,1,23,6,2016-01-23,AA,JFK,"New York, NY",New York,LAX,"Los Angeles, CA",California,1230,,,1200-1259,,1500-1559,1.0,2475.0,,,,,,
2016,1,1,5,2016-01-01,OO,DTW,"Detroit, MI",Michigan,CVG,"Cincinnati, OH",Kentucky,835,-4.0,0.0,0800-0859,17.0,0900-0959,1.0,229.0,29.52,32.0,28.0,21.0,,29.48
2016,1,15,5,2016-01-15,EV,IND,"Indianapolis, IN",Indiana,ORD,"Chicago, IL",Illinois,1237,-1.0,0.0,1200-1259,9.0,1200-1259,1.0,177.0,,,,,,
2016,1,23,6,2016-01-23,B6,CHS,"Charleston, SC",South Carolina,BOS,"Boston, MA",Massachusetts,1535,0.0,0.0,1500-1559,13.0,1700-1759,1.0,818.0,,,,,,
2016,1,17,7,2016-01-17,AA,ORD,"Chicago, IL",Illinois,BOS,"Boston, MA",Massachusetts,1719,1.0,0.0,1700-1759,17.0,2000-2059,1.0,867.0,2.5,7.0,-1.0,22.0,,29.49
2016,1,12,2,2016-01-12,DL,LAS,"Las Vegas, NV",Nevada,DTW,"Detroit, MI",Michigan,2315,1.0,0.0,2300-2359,18.0,0600-0659,1.0,1749.0,42.96,53.0,34.0,7.0,,28.04
2016,1,4,1,2016-01-04,UA,JAC,"Jackson, WY",Wyoming,DEN,"Denver, CO",Colorado,708,-12.0,0.0,0700-0759,37.0,0800-0859,1.0,406.0,,,,,,
2016,1,27,3,2016-01-27,DL,SRQ,"Sarasota/Bradenton, FL",Florida,ATL,"Atlanta, GA",Georgia,700,206.0,1.0,0700-0759,16.0,0800-0859,1.0,444.0,,,,,,
2016,1,22,5,2016-01-22,UA,SFO,"San Francisco, CA",California,SAN,"San Diego, CA",California,646,-3.0,0.0,0600-0659,16.0,0800-0859,1.0,447.0,,,,,,
2016,1,5,2,2016-01-05,WN,SEA,"Seattle, WA",Washington,OAK,"Oakland, CA",California,1440,10.0,0.0,1400-1459,12.0,1600-1659,1.0,672.0,,,,,,
2016,1,3,7,2016-01-03,HA,OGG,"Kahului, HI",Hawaii,HNL,"Honolulu, HI",Hawaii,849,-4.0,0.0,0800-0859,8.0,0900-0959,1.0,100.0,,,,,,
2016,1,15,5,2016-01-15,EV,ATL,"Atlanta, GA",Georgia,EYW,"Key West, FL",Florida,1915,776.0,1.0,1900-1959,18.0,2100-2159,1.0,646.0,44.89,51.0,40.0,20.0,0.5,28.88
2016,1,7,4,2016-01-07,WN,AUS,"Austin, TX",Texas,BNA,"Nashville, TN",Tennessee,705,-2.0,0.0,0700-0759,,0900-0959,1.0,756.0,,,,,,
2016,1,18,1,2016-01-18,NK,LAS,"Las Vegas, NV",Nevada,DTW,"Detroit, MI",Michigan,1050,56.0,1.0,1000-1059,19.0,1700-1759,1.0,1749.0,,,,,,
2016,1,18,1,2016-01-18,AA,EWR,"Newark, NJ",New Jersey,MIA,"Miami, FL",Florida,755,-7.0,0.0,0700-0759,32.0,1100-1159,1.0,1085.0,,,,,,
2016,1,11,1,2016-01-11,WN,LAS,"Las Vegas, NV",Nevada,DAL,"Dallas, TX",Texas,1200,-1.0,0.0,1200-1259,13.0,1600-1659,1.0,1067.0,43.63,51.0,37.0,9.0,,28.05
2016,1,25,1,2016-01-25,DL,ATL,"Atlanta, GA",Georgia,PHX,"Phoenix, AZ",Arizona,1636,-1.0,0.0,1600-1659,16.0,1800-1859,1.0,1587.0,,,,,,
2016,1,25,1,2016-01-25,WN,ABQ,"Albuquerque, NM",New Mexico,OAK,"Oakland, CA",California,1840,-3.0,0.0,1800-1859,16.0,2000-2059,1.0,889.0,,,,,,
2016,1,5,2,2016-01-05,EV,MSN,"Madison, WI",Wisconsin,EWR,"Newark, NJ",New Jersey,1918,-11.0,0.0,1900-1959,9.0,2200-2259,1.0,799.0,,,,,,
2016,1,24,7,2016-01-24,AA,BOS,"Boston, MA",Massachusetts,DCA,"Washington, DC",Virginia,1600,,,1600-1659,,1700-1759,1.0,399.0,,,,,,
2016,1,20,3,2016-01-20,EV,BHM,"Birmingham, AL",Alabama,ORD,"Chicago, IL",Illinois,922,-10.0,0.0,0900-0959,14.0,1100-1159,1.0,584.0,,,,,,
2016,1,31,7,2016-01-31,DL,LGA,"New York, NY",New York,BOS,"Boston, MA",Massachusetts,1900,-6.0,0.0,1900-1959,14.0,2000-2059,1.0,184.0,44.42,55.0,37.0,9.0,,29.97
2016,1,18,1,2016-01-18,DL,MSP,"Minneapolis, MN",Minnesota,STL,"St. Louis, MO",Missouri,914,-4.0,0.0,0900-0959,19.0,1000-1059,1.0,448.0,,,,,,
2016,1,30,6,2016-01-30,AA,LAS,"Las Vegas, NV",Nevada,DFW,"Dallas/Fort Worth, TX",Texas,500,-9.0,0.0,0001-0559,19.0,0900-0959,1.0,1055.0,,,,,,
2016,1,30,6,2016-01-30,AA,BNA,"Nashville, TN",Tennessee,CLT,"Charlotte, NC",North Carolina,723,-3.0,0.0,0700-0759,11.0,0900-0959,1.0,328.0,,,,,,
